Timestamp,Gallons,Price,Miles
6/10/2014 12:00:00,,58.21,
6/14/2014 12:00:00,,53.58,
6/15/2014 12:00:00,,56.39,
6/19/2014 12:00:00,,52.64,
6/24/2014 12:00:00,,47.26,
6/27/2014 12:00:00,,45.54,138174
7/2/2014 12:00:00,,54.82,
7/9/2014 12:00:00,,45.9,
7/16/2014 12:00:00,,53.63,
7/21/2014 12:00:00,,52.44,
7/25/2014 12:00:00,,51.12,
7/31/2014 12:00:00,,48.69,
8/5/2014 12:00:00,,52.02,
8/9/2014 12:00:00,,53.49,
8/13/2014 12:00:00,,42.75,
8/18/2014 12:00:00,,53.26,
8/22/2014 12:00:00,11.857,43.62,
8/25/2014 12:00:00,12.491,47.2,142224
8/29/2014 12:00:00,,,142545
8/30/2014 15:01:01,12.981,48.54,142552